title,description,price
Apartament cu 2 camere. Ex-Factor. Et. 6/9. 72 m2.,, 63 700 € 
Буюканы! 2 комнаты 65 кв.м - Идеально для инвестиций!,, 41 000 € 
"Oficii in chirie:  13,6 m2,  sectorul telecentru (in apropiere de piața Dokuceaev)",, 9 € 
Se da in chirie,, 250 € 
"Однокомнатная квартира по лучшей цене 24900 евро от застройщика, красный кирпич, парк, Kaufland!",,
Buiucani  29.02.2020  Darea in exploatare !,,
VASIGUR GRUP - s. CENTRU și BUIUCANI din cărămidă roșie! Alege locuința care te caracterizează!,,
"LAGMAR – apartamente noi Centru, Buiucani, Râșcani de la 444 euro/m2",,
"Complex locativ ""Codru Residence"" 2 odai-45m2,3 odai-54m2! Super pret!",,
"Complex Ghefest compania Varincom, de la 650 euro/m2.",,
28700 euro 2 odai 71 m2,,
URBANCONSTRUCT - TT Complex Rezidențial str. Trandafirilor 13/2.,,
Valea Trandafirilor - Art Urban Grup propune Oferte înteresante!!! Achitare în Rate!,,
BERNARDAZZI RESIDENCE - DAT ÎN EXPLOATARE ! Apartamente PREMIUM.,,
"Complexul imobiliar ""Botanic Star 2""",,
"Complex locativ ""ESTATE ART RESIDENCE"" strada Vorniceni, ESTATE INVEST COMPANY, de la 700 EUR/m2",,
"3 odai ,90m2 , 35900Euro",,
Apartamente clasa premium de vânzare! Complex locativ pe str. Paris. Preț special! Reducere!,,
Можно на месяц!,, 350 € 
Garsonieră în casa modernă,, 200 € 
Apartament-studiou nou  linga  spitalul  oncologic  foate  spatios..,, 230 € 
La alegere  ap.. cu 1    sau 2 camere in casa cotedj cu parcare.,, Negociabil 
"Se dă în chirie apartament cu 1 cameră pe bd. Decebal, lîngă marketul Velmart și Kaufland",, 250 € 
Decebal/Sarmizegetusa Et. 3/5 Reparatie,, 150 € 
Apartament cu 1 camera linga Green Hills,, 250 € 
просторная удобная,, Negociabil 
Lunar apartament in bloc nou centru Jambo Botanica negociabil 280-300€,, 300 € 
Долгосрочно семье,, 170 € 
Spre Chirie Apartament linga Valea Morilor,, 260 € 
Se da in chirie apartament cu o odaie,, 160 € 
Cameră garsonieră la alegere!!!,, 200 € 
Asa oferte se cauta  ap in casa cotedj cu parcare.,, 200 € 
fii primul...apartament cu 1  odăe  cu toate comoditățile!!!,, 230 € 
сдаю 1 комнатную квартиру в Центре (не агенство) с автономным отоплением,, 240 € 
Apartament cu 1 camera   in casa particulara separat  tot  cu parcare,, 220 € 
Vă oferim apartament în chirie pentru orice perioadă la preț accesibil!!!,, Negociabil 
Chirie Dokuceaiev,, 200 € 
"Chirie, Centru, Lev Tolstoi, 1 cameră, 450 euro!",, 450 € 
"Chirie, Centru, Eldorado Terra Viaduct, 1 cameră, 260 euro!",, 260 € 
"Chirie! Apartament în Centru, 450 euro!",, 450 € 
"Apartament cu 1 camera,Centru,Valea Trandafirilor 57 m2",, 250 € 
"Chirie, Centru, 1 cameră, 300 euro!",, 300 € 
Сдается однокомнатная квартира на долгий срок,, 250 € 
"În centru se oferă spre chirie apartament cu 1 cameră, 350 euro!!!",, 350 € 
Spre închiriere! apartament str. Teilor - 400 euro,, 400 € 
"Chirie, sect. Centru, Catedrala, 1 cameră, 320 euro!",, 320 € 
"Apartament în chirie, str. Mirce cel Bătrân, 250 €",, 250 € 
"Apartament cu o cameră, reparație euro, Testemițeanu, 300 € !",, 300 € 
Apartament in chirie la Riscanovca!!!!,, 310 € 
"Apartamente in chirie. Armeneasca 53, et. 4, of. 8",, Negociabil 
"Chirie apartament cu 1 odaie, sect. Ciocana, str. Igor Vieru",, 200 € 
1 комнатная . Пушкина 33.  Evroliux.  Помесячно .,, Negociabil 
1 комнатная. Пушкина 33.   Евролюкс. Помесячно.,, Negociabil 
Apartament cu 1 cameră,, 220 € 
Apartament nou nout in spatele la Malldova!!!,, 260 € 
Se da in chirie apartament in bloc locativ nou,, 250 € 
"Apartament modern, sectorul Riscani",, 330 € 
"Apartament cu 1 cameră, str. Independenței, Botanica, 300 € !",, 300 € 
"Chirie! Buiucani, str. N. Costin, 1 cameră!",, 140 € 
Apartament modern cu 1 cameră spre chirie in sec.Centru,, 390 € 
Apartament de lux in centru orasului!!!,, 450 € 
"Apartament cu 1 cameră Botanica, Independenței!",, 320 € 
"Apartament cu o cameră, bloc nou, Lev Tolstoi, 450 € !",, 450 € 
"Aici  sunt libere apartamente pentru orice perioadă. Ore, noapte, saptamina , lună,.",, 220 € 
"Ap 1 camera, Malina Mica, et 3, mobilat, recent renovat, incalzire autonoma, aer conditionat...",, 230 € 
Apartament s t u d i o   in casa cotedj  cu parcare,, 200 € 
